flag_labelx,FMN1,FMD1,MFMD1,MFMN1,MMAV11,MMAV21,MAV1,SSI1,WAMP1,WL1,ZC1,IEMG1,VAR1,SSC1,RMS1,FR1,FMN2,FMD2,MFMD2,MFMN2,MMAV12,MMAV22,MAV2,SSI2,WAMP2,WL2,ZC2,IEMG2,VAR2,SSC2,RMS2,FR2
0,2963.402,9710.851,499.331,2630.091,0.702,0.487,0.947,58.584,0,1.328,0,60.644,0.017,0,0.119,0,2963.402,9710.851,499.331,2630.091,0.286,0.194,0.389,10.16,0,0.958,0,24.935,0.006,0,0.049,0
0,2967.344,8779.939,472.834,2646.93,0.67,0.465,0.902,53.091,0,1.362,0,57.783,0.014,0,0.113,0,2967.344,8779.939,472.834,2646.93,0.31,0.21,0.422,11.739,0,0.768,0,27.058,0.004,0,0.053,0
0,2967.055,7732.922,438.286,2651.292,0.629,0.439,0.847,46.736,0,1.202,0,54.232,0.012,0,0.106,0,2967.055,7732.922,438.286,2651.292,0.276,0.185,0.378,9.415,0,0.68,0,24.232,0.003,0,0.047,0
0,2967.979,9547.801,484.087,2650.798,0.7,0.491,0.94,57.62,0,1.346,0,60.178,0.016,0,0.118,0,2967.979,9547.801,484.087,2650.798,0.504,0.352,0.678,29.559,0,0.665,0,43.402,0.001,0,0.084,0
0,2964.804,11065.408,527.182,2641.382,0.761,0.542,1.011,66.639,0,1.386,0,64.731,0.018,0,0.127,0,2964.804,11065.408,527.182,2641.382,0.436,0.302,0.588,22.481,0,0.697,0,37.688,0.004,0,0.074,0
0,2965.761,8791.539,472.172,2642.952,0.673,0.47,0.903,53.104,0,1.354,0,57.827,0.013,0,0.113,0,2965.761,8791.539,472.172,2642.952,0.363,0.249,0.493,15.806,0,0.749,0,31.573,0.003,0,0.062,0
0,2967.501,8516.735,455.341,2653.53,0.669,0.478,0.887,51.35,0,1.263,0,56.818,0.014,0,0.111,0,2967.501,8516.735,455.341,2653.53,0.327,0.222,0.447,12.975,0,0.648,0,28.612,0.002,0,0.056,0
0,2966.228,8645.65,465.836,2645.365,0.667,0.468,0.895,52.104,0,1.198,0,57.288,0.012,0,0.112,0,2966.228,8645.65,465.836,2645.365,0.379,0.261,0.513,17.102,0,0.753,0,32.895,0.003,0,0.064,0
0,2965.446,7827.241,447.846,2640.335,0.632,0.44,0.851,47.237,0,1.28,0,54.527,0.012,0,0.107,0,2965.446,7827.241,447.846,2640.335,0.307,0.211,0.417,11.441,0,0.814,0,26.702,0.004,0,0.052,0
0,2966.368,9868.265,496.107,2649.812,0.713,0.5,0.957,59.645,0,1.5,0,61.257,0.015,0,0.12,0,2966.368,9868.265,496.107,2649.812,0.259,0.176,0.352,8.315,0,0.798,0,22.538,0.005,0,0.045,0
0,2964.551,10623.359,517.536,2639.069,0.742,0.525,0.991,64.037,0,1.408,0,63.471,0.017,0,0.125,0,2964.551,10623.359,517.536,2639.069,0.227,0.154,0.311,6.725,0,0.925,0,19.912,0.008,0,0.04,0
0,2962.581,10283.847,511.965,2629.255,0.726,0.51,0.974,62.158,0,1.516,0,62.373,0.021,0,0.123,0,2962.581,10283.847,511.965,2629.255,0.302,0.181,0.438,14.675,0,1.343,0,28.075,0.036,0,0.059,0
0,2966.056,8855.49,475.813,2640.932,0.67,0.463,0.906,53.494,0,1.318,0,58.022,0.013,0,0.114,0,2966.056,8855.49,475.813,2640.932,1.181,0.831,1.578,164.449,0,1.563,0,101.034,0.077,0,0.2,0
0,2967.741,10046.76,495.238,2651.505,0.72,0.507,0.964,60.604,0,1.344,0,61.735,0.016,0,0.121,0,2967.741,10046.76,495.238,2651.505,1.728,1.22,2.31,344.999,0,2.251,0,147.843,0.054,0,0.29,0
0,2965.421,11360.906,529.024,2646.35,0.77,0.546,1.025,68.45,0,1.464,0,65.642,0.017,0,0.129,0,2965.421,11360.906,529.024,2646.35,1.773,1.241,2.379,364.398,0,2.357,0,152.265,0.033,0,0.298,0
0,2965.663,7476.37,435.783,2642.585,0.62,0.433,0.833,45.159,0,1.244,0,53.318,0.011,0,0.105,0,2965.663,7476.37,435.783,2642.585,1.509,1.062,2.021,265.266,0,2.056,0,129.386,0.057,0,0.254,0
0,2963.79,7429.884,433.641,2636.964,0.62,0.437,0.829,44.844,0,1.166,0,53.058,0.013,0,0.104,0,2963.79,7429.884,433.641,2636.964,0.558,0.383,0.757,37.563,0,0.547,0,48.484,0.013,0,0.095,0
0,2965.781,7883.812,443.128,2645.072,0.642,0.457,0.854,47.47,0,1.13,0,54.662,0.012,0,0.107,0,2965.781,7883.812,443.128,2645.072,0.364,0.248,0.496,15.96,0,0.702,0,31.794,0.002,0,0.062,0
0,2965.801,10649.769,523.679,2637.216,0.733,0.503,0.994,64.403,0,1.49,0,63.644,0.017,0,0.125,0,2965.801,10649.769,523.679,2637.216,0.477,0.33,0.644,26.819,0,0.869,0,41.22,0.004,0,0.08,0
0,2966.943,11638.638,547.499,2641.517,0.765,0.525,1.039,70.358,0,1.638,0,66.498,0.019,0,0.131,0,2966.943,11638.638,547.499,2641.517,0.464,0.322,0.625,25.424,0,0.835,0,40.009,0.006,0,0.078,0
0,2961.907,22548.46,803.587,2598.769,1.058,0.727,1.433,136.392,0,2.34,0,91.743,0.076,0,0.182,0,2961.907,22548.46,803.587,2598.769,0.352,0.236,0.481,17.474,0,1.927,0,30.844,0.04,0,0.065,0
0,2965.425,89575.912,1497.522,2641.859,2.153,1.521,2.877,538.728,0,3.142,0,184.161,0.137,0,0.362,0,2965.425,89575.912,1497.522,2641.859,0.346,0.227,0.479,20.948,0,2.687,0,30.7,0.097,0,0.071,0
0,2965.949,91090.528,1509.872,2645.547,2.168,1.522,2.906,549.102,0,3.065,0,185.992,0.134,0,0.366,0,2965.949,91090.528,1509.872,2645.547,0.305,0.198,0.425,18.048,0,2.746,0,27.204,0.101,0,0.066,0
0,2971.94,56471.884,1164.414,2655.638,1.707,1.206,2.281,343.721,0,3.965,0,146.024,0.164,0,0.289,0,2971.94,56471.884,1164.414,2655.638,0.272,0.182,0.374,11.139,0,1.659,0,23.99,0.033,0,0.052,0
0,2968.184,18203.736,669.463,2651.45,0.963,0.669,1.299,110.14,0,1.909,0,83.168,0.032,0,0.163,0,2968.184,18203.736,669.463,2651.45,0.267,0.176,0.37,9.618,0,1.24,0,23.684,0.013,0,0.048,0
0,2966.484,13687.107,585.142,2646.797,0.836,0.58,1.128,82.834,0,1.772,0,72.195,0.021,0,0.142,0,2966.484,13687.107,585.142,2646.797,0.468,0.326,0.63,25.731,0,0.834,0,40.371,0.004,0,0.079,0
0,2967.778,10221.988,499.638,2654.984,0.73,0.517,0.973,61.738,0,1.458,0,62.303,0.016,0,0.122,0,2967.778,10221.988,499.638,2654.984,0.345,0.237,0.468,14.288,0,0.698,0,29.967,0.004,0,0.059,0
0,2965.775,9157.933,481.39,2642.031,0.687,0.48,0.921,55.26,0,1.395,0,58.976,0.014,0,0.116,0,2965.775,9157.933,481.39,2642.031,0.262,0.179,0.357,8.536,0,0.805,0,22.876,0.005,0,0.045,0
0,2962.158,11361.709,546.121,2620.322,0.758,0.526,1.023,68.671,0,1.487,0,65.491,0.025,0,0.129,0,2962.158,11361.709,546.121,2620.322,0.249,0.165,0.343,8.331,0,1.144,0,22.002,0.011,0,0.045,0
0,2965.166,9523.175,488.585,2642.656,0.704,0.499,0.939,57.381,0,1.33,0,60.098,0.014,0,0.118,0,2965.166,9523.175,488.585,2642.656,0.634,0.434,0.86,48.852,0,1.266,0,55.057,0.023,0,0.109,0
0,2964.182,9599.794,492.925,2637.172,0.701,0.489,0.943,57.973,0,1.325,0,60.372,0.015,0,0.118,0,2964.182,9599.794,492.925,2637.172,1.383,0.964,1.858,222.196,0,1.956,0,118.964,0.016,0,0.232,0
0,2965.03,11763.87,539.541,2643.087,0.785,0.562,1.041,70.747,0,1.466,0,66.677,0.02,0,0.131,0,2965.03,11763.87,539.541,2643.087,1.528,1.071,2.049,269.971,0,2.04,0,131.157,0.018,0,0.256,0
0,2966.971,10479.563,510.059,2648.793,0.738,0.522,0.985,63.173,0,1.428,0,63.058,0.016,0,0.124,0,2966.971,10479.563,510.059,2648.793,1.422,0.995,1.91,234.792,0,1.522,0,122.241,0.02,0,0.239,0
0,2963.801,8334.893,459.857,2635.808,0.654,0.459,0.878,50.302,0,1.269,0,56.212,0.014,0,0.11,0,2963.801,8334.893,459.857,2635.808,0.747,0.518,1.008,66.828,0,0.957,0,64.568,0.026,0,0.127,0
0,2964.572,7910.201,451.188,2633.788,0.634,0.439,0.856,47.754,0,1.17,0,54.805,0.012,0,0.107,0,2964.572,7910.201,451.188,2633.788,0.341,0.231,0.465,14.119,0,0.711,0,29.76,0.004,0,0.058,0
0,2965.957,10496.711,511.574,2646.481,0.738,0.521,0.986,63.255,0,1.338,0,63.12,0.015,0,0.124,0,2965.957,10496.711,511.574,2646.481,0.343,0.235,0.464,14.166,0,0.887,0,29.747,0.005,0,0.058,0
0,2966.092,8996.637,474.658,2645.812,0.681,0.478,0.912,54.196,0,1.27,0,58.424,0.013,0,0.115,0,2966.092,8996.637,474.658,2645.812,0.385,0.265,0.52,17.522,0,0.766,0,33.287,0.003,0,0.065,0
0,2966.384,9466.552,482.698,2649.52,0.701,0.496,0.936,57.084,0,1.339,0,59.956,0.014,0,0.118,0,2966.384,9466.552,482.698,2649.52,0.522,0.357,0.709,35.005,0,1.259,0,45.394,0.043,0,0.092,0
0,2966.893,7541.025,435.464,2648.613,0.624,0.439,0.836,45.476,0,1.179,0,53.51,0.011,0,0.105,0,2966.893,7541.025,435.464,2648.613,0.699,0.484,0.943,57.119,0,0.645,0,60.408,0.001,0,0.118,0
0,2967.413,9988.549,496.25,2652.045,0.715,0.498,0.963,60.399,0,1.386,0,61.636,0.016,0,0.121,0,2967.413,9988.549,496.25,2652.045,1.032,0.73,1.378,122.655,0,0.994,0,88.202,0.017,0,0.173,0
0,2965,9983.991,498.697,2643.757,0.72,0.509,0.961,60.169,0,1.341,0,61.533,0.015,0,0.121,0,2965,9983.991,498.697,2643.757,1.126,0.791,1.509,146.269,0,1.201,0,96.626,0.006,0,0.188,0
