flag_labelx,FMD1,FMD2,FMN1,FMN2,FR1,FR2,MAV1,MAV2,MFMD1,MFMD2,MFMN1,MFMN2,MMAV11,MMAV12,MMAV21,MMAV22,SSI1,SSI2,WAMP1,WAMP2,WL1,WL2,ZC1,ZC2
0,538660.603761559,584767.867169654,0.934279952900262,0.934304631757308,0.000431273489002554,0.00407632776038281,162.31,169.27,255.144108193405,268.000213733931,363.693254347628,364.905606960398,121.875,126.885,81.588,84.216,263493.45,286634.95,0,0,26.5000000000001,24.8,0,0
0,538481.093962279,587094.488913381,0.934263071039332,0.93428340341182,0.00184683575474021,0.00341981132075476,162.44,169.6,257.282501765389,268.114071732261,364.968469667504,364.648913397963,121.54,127.19,80.504,85.004,263912.16,287702.58,0,0,24,28.4,0,0
0,525276.683150902,578477.82614728,0.934260754366439,0.93433463418765,0.00112331502745878,0.00142534742843567,160.24,168.38,252.260647894912,266.622720520108,363.942399696837,364.925580064058,120.4,126.285,81.136,84.174,256837.14,283623.88,0,0,22.2,28.0999999999999,0,0
0,521847.922621882,579301.414073239,0.934253895829935,0.934243690076931,0.000687542971435658,0.00302724520686177,159.99,168.47,253.860361130093,266.366224192868,365.272436350143,364.673310954504,119.64,126.33,79.126,84.174,256018.15,283869.05,0,0,22,23.1000000000001,0,0
0,510093.103520451,575141.655597953,0.934238192439285,0.934323095689213,0.000886524822694949,0.0014903129657228,157.92,167.75,248.250363752231,264.398313350299,363.698133757028,364.144155208485,118.73,126.28,79.936,85.51,249441.52,281518.45,0,0,21.8,29.2,0,0
0,522312.343819378,549977.021022946,0.93427563650751,0.934269516595373,0.000187535162843005,0.000426387281476477,159.97,164.17,253.116557791863,259.163059839561,364.799646565419,364.4100821039,119.69,123.035,79.218,81.784,255953.65,269591.23,0,0,26.7,24.7000000000001,0,0
0,537208.567431688,540554.640955252,0.93424767222122,0.934365001890235,0.000370187561698011,0.00264338845515458,162.08,162.67,254.418322974277,257.460726184096,363.45039083118,364.846794397492,121.805,122.205,81.586,81.364,262756.2,264723.93,0,0,21.3,31.7,0,0
0,550347.516753938,565965.616258532,0.934288311879925,0.934335207116113,0.00103525972839652,0.00138329223552051,164.21,166.27,260.364406816066,260.688859601466,365.148542375066,363.250627327214,122.705,125.015,80.844,83.792,269721.81,276615.19,0,0,26.5,31.8,0,0
0,528201.648256862,557710.315851754,0.934283819924456,0.934372291492748,0.00112023898431663,0.00169512047463371,160.68,165.18,252.454462304021,261.168794375427,363.607674262194,364.676124093084,120.83,123.885,81.816,82.43,258298.44,272979.96,0,0,25.4000000000001,31.4,0,0
0,524311.103550915,548032.959662251,0.934271632582279,0.934259494090495,0.00106018085438107,0.00311298297015207,160.35,163.83,254.119117625951,258.442068176989,365.065788571351,364.289646644984,119.96,122.965,79.65,82.356,257169.63,268485.13,0,0,27.6,24.5,0,0
0,522598.16063238,558241.115270847,0.934297652725396,0.934414049751294,0.0020020020020021,0.000908155234001469,159.84,165.17,251.205350780122,261.031086001057,363.655418959175,364.597363958579,120.015,124.085,80.314,83.2,255541.52,272978.35,0,0,27.5,36.2,0,0
0,515975.798429988,554243.742937675,0.93431117989271,0.934438782942553,0.0006914325224715,0.00406775544897088,159.09,164.71,252.615217030668,259.538018836634,365.394123262509,364.099296395131,118.885,123.745,79.036,82.968,253188.25,271544.55,0,0,29.8999999999999,41.1,0,0
