?.40  0
7.00  318.80  0
7.00  318.80  0
7.10  316.00  0
7.00  316.50  0
7.00  315.60  0
7.00  319.30  0
7.30  319.00  0
6.80  316.60  0
6.60  317.80  0
7.00  318.70  0
7.10  318.90  0
7.10  318.00  0
7.00  316.50  0
7.10  318.10  0
7.00  316.00  0
6.90  315.40  0
7.00  315.40  0
7.10  316.10  0
6.80  317.10  0
6.60  317.80  0
7.00  313.80  1
90.10  295.40  1
76.80  295.50  1
68.10  295.50  1
59.10  295.40  1
51.90  295.50  1
46.40  295.50  1
41.40  295.50  1
37.00  295.50  1
33.50  295.60  1
30.40  295.50  1
27.50  273.60  1

30.40  230.60  1
50.60  221.20  1
65.50  229.20  1
95.50  241.60  1
118.70  248.40  1
156.20  268.60  1
22.60  281.00  1
237.00  294.50  1
269.00  294.20  1
295.60  295.10  1
296.00  294.90  1
294.90  294.70  1
295.90  295.00  1
296.00  295.10  1
295.70  294.90  1
295.60  295.10  1
295.10  295.10  1
296.00  295.10  1
296.10  295.10  1
295.80  295.10  1
295.80  294.90  1
295.90  295.30  1
295.20  294.80  1
295.90  295.10  1
295.80  295.20  1
296.00  295.00  1
296.00  295.10  1
295.50  295.00  1
295.90  294.90  1
295.80  295.00  1
295.70  295.00  1
295.80  295.00  1
295.70  294.90  1
295.90  294.90  1
295.70  295.00  1
295.90  295.10  1
296.10  295.10  1
294.90  295.10  1
295.80  295.20  1
290.70  295.30  1
276.10  295.10  1
262.40  295.00  1
256.20  294.90  1
261.10  295.10  1
252.80  294.90  1
248.30  294.90  1
237.90  294.90  1
232.00  294.90  1
225.20  295.00  1
220.10  295.30  1
215.90  295.10  1
215.00  294.70  1
215.50  295.10  1
199.20  293.90  1
194.80  289.30  1
182.60  282.20  1
182.00  285.40  1
170.40  276.10  1
167.40  278.20  1
169.90  273.50  1
168.70  273.60  1
162.00  266.90  1
162.30  263.70  1
156.70  258.40  1

140.30  224.60  1
132.90  23.30  1
125.30  175.10  1
124.70  161.90  1
113.40  156.30  1
12.80  157.80  1
91.20  158.60  1
84.10  164.70  1
78.30  173.70  0
69.20  182.10  0
68.00  183.60  0
66.80  185.60  0
67.90  188.10  0
70.40  190.80  0
73.10  193.00  0
75.10  195.20  0
73.80  197.00  0
72.20  198.10  0
71.70  198.90  0
71.40  199.90  0
69.40  21.90  0
67.50  24.00  0
65.90  26.30  0
65.00  29.20  0
64.00  211.00  0
62.50  213.00  0
60.90  214.70  0
59.00  215.40  0
58.20  216.40  0
56.60  217.60  0
55.50  218.90  0
53.80  221.40  0
52.80  223.70  0
51.80  226.30  0
50.90  228.40  0
50.10  230.90  0
49.30  232.50  0
48.50  233.40  0
47.20  234.30  0
46.30  235.20  0
46.00  236.60  0
46.10  238.60  0
45.60  240.80  0
44.60  244.00  0
43.50  246.20  0
43.10  248.30  0
42.70  250.40  0
42.90  251.40  0
42.70  252.10  0
42.50  253.80  0
42.00  255.00  0
40.80  257.00  0
39.70  259.00  0
39.30  261.50  0
38.50  263.90  0
38.20  266.20  0
38.10  268.20  0
